symbol,day
AGLD-USDT-SWAP,2026-06-25
AGLD-USDT-SWAP,2026-06-26
BASED-USDT-SWAP,2026-06-25
BASED-USDT-SWAP,2026-06-26
BILL-USDT-SWAP,2026-06-25
COAI-USDT-SWAP,2026-06-25
H-USDT-SWAP,2026-06-25
H-USDT-SWAP,2026-06-26
OFC-USDT-SWAP,2026-06-25
OPG-USDT-SWAP,2026-06-25
OPG-USDT-SWAP,2026-06-26
PARTI-USDT-SWAP,2026-06-25
PARTI-USDT-SWAP,2026-06-26
SAHARA-USDT-SWAP,2026-06-25
SAHARA-USDT-SWAP,2026-06-26
